Date,Nifty500_PE,Nifty500_PB,Earning_Yields_%,3M_Yield_India,2Y_Yield_India,10Y_Yield_India,India_Yield_Spread,10Y-3M_Yield_India,10Y-2Y_Yield_India,3M_Yield_US,2Y_Yield_US,10Y_Yield_US,10Y-3M_Yield_US,10Y-2Y_Yield_US,pct_change
2011-01-31,19.22,3.05,4.75,7.2,7.72,8.14,3.39,0.94,0.42,0.15,0.57,3.37,3.22,2.8,0.511119649233829
2013-10-11,17.42,2.34,5.59,8.87,8.31,8.48,2.89,-0.39,0.18,0.07,0.34,2.68,2.61,2.34,1.100068790575691
2005-10-04,19.04,3.71,6.05,5.38,6.12,7.14,1.1,1.76,1.03,3.56,4.22,4.37,0.81,0.15,0.9432928793899689
2008-07-22,15.32,3.42,5.54,9.0,9.33,9.12,3.58,0.12,-0.22,1.55,2.72,4.1,2.55,1.38,0.4268005602073959
2007-05-08,17.44,4.37,5.16,7.5,8.03,8.11,2.96,0.61,0.08,4.88,4.68,4.64,-0.24,-0.04,0.23161361141602632
2003-06-06,15.26,1.77,8.37,4.83,5.11,5.77,-2.6,0.94,0.66,1.06,1.25,3.35,2.3,2.11,3.5807965347130306
1999-09-24,21.81,2.44,4.56,9.6,10.61,11.55,6.99,1.95,0.94,4.78,5.55,5.77,0.99,0.22,0.2921785103405379
2001-12-12,15.63,1.77,6.23,7.0,6.97,8.01,1.78,1.01,1.04,1.69,2.98,5.01,3.32,2.03,3.144837379133139
2010-03-31,19.41,3.27,4.48,4.25,6.17,7.83,3.36,3.58,1.66,0.16,1.02,3.83,3.68,2.81,0.6789080159972178
2008-07-15,14.15,3.15,6.05,9.0,9.63,9.46,3.41,0.46,-0.17,1.41,2.37,3.83,2.42,1.46,0.5240641711229947
2002-09-13,12.07,1.54,6.78,5.74,5.93,7.17,0.39,1.43,1.24,1.7,2.05,3.91,2.21,1.86,4.27036080675553
2014-04-28,19.31,2.68,5.27,8.89,8.58,8.85,3.58,-0.04,0.27,0.02,0.43,2.71,2.68,2.28,0.6761721319176923
2005-09-02,18.42,3.53,6.68,5.17,6.04,7.04,0.37,1.87,1.01,3.41,3.77,4.05,0.64,0.28,1.0393091264121996
2002-02-27,15.3,1.76,5.22,6.29,6.43,7.3,2.07,1.01,0.87,1.78,2.94,4.83,3.06,1.9,3.1111041796631316
2014-02-06,17.56,2.35,5.83,8.94,8.54,8.71,2.88,-0.23,0.17,0.07,0.33,2.7,2.63,2.38,0.9288132696764821
2007-01-29,19.48,4.45,4.79,7.3,7.53,7.9,3.11,0.6,0.37,5.11,4.99,4.89,-0.22,-0.1,0.12120017520805959
2008-12-11,11.4,1.99,7.81,5.63,5.62,6.47,-1.35,0.84,0.85,0.01,0.8,2.61,2.6,1.81,1.0732557877922022
2002-02-15,14.98,1.73,5.35,6.4,6.42,7.27,1.92,0.87,0.85,1.75,2.94,4.86,3.12,1.92,3.0378388673735
2005-04-11,16.71,3.12,6.95,5.43,6.02,7.0,0.05,1.57,0.98,2.75,3.73,4.44,1.69,0.7,1.3052682290928672
2001-09-07,14.25,1.58,6.74,6.95,7.31,9.18,2.44,2.23,1.87,3.27,3.51,4.79,1.52,1.28,2.8132727543572176
2001-07-19,15.05,1.66,6.48,7.17,7.58,9.37,2.9,2.2,1.8,3.55,3.95,5.11,1.56,1.16,2.6719398157913243
2002-11-29,12.8,1.64,7.02,5.12,5.53,6.45,-0.57,1.33,0.93,1.25,2.06,4.21,2.96,2.15,4.714786595644259
2002-11-22,12.41,1.59,7.23,5.47,5.61,6.44,-0.78,0.97,0.84,1.22,2.06,4.18,2.96,2.12,4.7165403601473965
2002-05-15,14.27,1.73,5.6,6.7,6.92,7.84,2.25,1.14,0.93,1.78,3.32,5.25,3.47,1.92,2.8221810752138934
2001-04-20,16.13,1.74,6.08,8.1,8.98,10.32,4.24,2.22,1.34,3.76,4.25,5.29,1.53,1.05,2.4749718225817148
2008-11-11,11.8,2.09,7.77,7.15,6.94,7.67,-0.1,0.52,0.74,0.22,1.27,3.76,3.54,2.49,0.9386509728978458
2000-12-19,23.0,2.42,5.03,9.25,10.13,10.93,5.9,1.68,0.8,5.92,5.37,5.19,-0.73,-0.18,1.2291228439209085
2014-05-20,20.68,2.89,4.95,8.7,8.43,8.85,3.9,0.15,0.42,0.03,0.33,2.51,2.48,2.18,0.6433745758467957
1999-06-04,15.14,1.89,5.73,8.75,10.86,11.72,5.99,2.97,0.86,4.54,5.55,5.81,1.27,0.26,0.8955369967839937
2009-06-22,17.92,2.98,5.27,3.4,5.48,6.94,1.66,3.54,1.46,0.19,1.13,3.69,3.49,2.55,0.5689827176432616
2008-06-20,16.06,3.72,5.38,8.2,8.84,8.61,3.23,0.41,-0.23,1.87,2.9,4.17,2.3,1.27,0.28933764365769954
2005-11-09,16.2,3.26,6.69,5.77,6.13,7.13,0.43,1.36,0.99,3.95,4.49,4.64,0.7,0.15,1.1749053817040522
2002-09-12,12.17,1.55,6.71,5.74,5.91,7.16,0.45,1.42,1.26,1.69,2.1,3.96,2.27,1.87,4.249411601827496
2000-01-12,27.07,3.11,3.78,8.7,10.33,11.28,7.5,2.58,0.96,5.42,6.48,6.7,1.28,0.22,0.23292980862592794
2006-01-13,18.87,3.8,5.8,6.17,6.39,7.21,1.42,1.04,0.82,4.3,4.35,4.36,0.06,0.01,1.0455498951153732
1999-01-05,12.4,1.46,8.45,9.3,11.3,12.22,3.78,2.92,0.92,4.48,4.64,4.75,0.27,0.1,0.9815051020408161
2014-04-17,19.28,2.68,5.25,8.83,8.53,8.84,3.59,0.01,0.31,0.03,0.4,2.72,2.69,2.32,0.6700654333192109
2008-05-27,17.89,4.3,4.84,7.45,7.97,8.11,3.27,0.66,0.14,1.92,2.51,3.92,2.01,1.41,0.11419299224177282
2011-03-21,18.66,2.97,4.87,7.25,7.7,8.01,3.14,0.76,0.31,0.08,0.64,3.33,3.25,2.69,0.43360221947637134
2007-01-11,19.73,4.26,4.75,7.07,7.22,7.54,2.78,0.47,0.32,5.08,4.87,4.74,-0.34,-0.13,0.26271960539536554
2004-01-13,18.63,3.06,4.62,4.22,4.57,5.13,0.51,0.91,0.56,0.87,1.65,4.01,3.14,2.36,0.3919502719502721
2012-01-24,17.3,2.46,5.47,8.6,8.08,8.35,2.88,-0.25,0.27,0.04,0.24,2.06,2.02,1.82,0.7016355896337971
2012-07-16,17.13,2.46,5.87,8.25,7.88,8.04,2.18,-0.21,0.16,0.1,0.23,1.47,1.37,1.24,1.0197835419311927
2007-11-30,23.42,5.44,3.97,7.48,7.83,7.91,3.94,0.43,0.08,2.96,3.02,3.95,0.99,0.93,-0.07499666293600016
2009-05-22,19.06,2.99,5.03,3.3,4.93,6.47,1.44,3.17,1.54,0.18,0.9,3.45,3.27,2.56,0.4995454613195034
2001-06-22,15.31,1.69,6.46,7.35,8.34,9.63,3.17,2.28,1.29,3.46,3.93,5.12,1.67,1.2,3.092486348240824
2010-09-22,22.73,3.46,3.95,6.15,6.99,7.95,3.99,1.8,0.96,0.16,0.43,2.56,2.4,2.12,0.4563667474689861
2005-06-27,18.03,3.34,7.05,5.35,6.04,6.94,-0.12,1.59,0.9,3.07,3.59,3.91,0.84,0.32,1.3032627541638209
2005-09-06,18.52,3.55,6.64,5.16,6.05,7.03,0.38,1.87,0.98,3.45,3.81,4.1,0.65,0.29,1.0419616007402266
2014-02-11,17.66,2.36,5.79,8.99,8.57,8.73,2.94,-0.26,0.16,0.07,0.33,2.72,2.65,2.39,0.8660311515873691
2001-11-28,14.92,1.66,6.44,6.6,6.76,7.88,1.44,1.28,1.12,1.87,3.1,4.94,3.07,1.83,3.242865256282834
2008-07-02,14.79,3.42,5.71,8.9,9.33,8.79,3.08,-0.11,-0.54,1.81,2.58,3.96,2.15,1.38,0.43930232558139526
1999-07-12,17.29,2.16,5.04,9.15,10.82,11.77,6.72,2.62,0.95,4.69,5.51,5.73,1.04,0.22,0.694868084158967
1999-10-26,21.92,2.46,4.54,10.1,10.6,11.53,6.99,1.43,0.93,5.14,5.99,6.24,1.1,0.25,0.26126168934843763
1999-09-29,21.89,2.45,4.55,10.1,10.57,11.63,7.09,1.53,1.06,4.81,5.69,5.96,1.16,0.27,0.280930034129693
2006-04-28,20.56,4.63,4.98,5.46,6.47,7.39,2.41,1.93,0.92,4.76,4.87,5.06,0.3,0.19,0.40232573570883523
2001-07-09,14.63,1.61,6.64,7.1,7.72,9.39,2.75,2.29,1.66,3.65,4.12,5.33,1.69,1.21,3.6424334490740735
2011-04-25,20.49,3.31,4.56,7.4,7.82,8.12,3.56,0.72,0.3,0.05,0.64,3.36,3.31,2.72,0.27946095766032664
2002-02-11,14.54,1.68,5.49,6.38,6.38,7.31,1.82,0.93,0.93,1.75,2.91,4.92,3.17,2.01,3.0887349712493464
2006-02-03,19.0,3.82,5.7,6.54,6.83,7.35,1.65,0.81,0.52,4.45,4.58,4.53,0.08,-0.05,0.9119284761979454
2014-01-15,18.9,2.47,5.35,8.69,8.5,8.63,3.28,-0.06,0.14,0.04,0.39,2.88,2.84,2.49,0.8212441578055798
1999-06-24,15.38,1.92,5.6,9.1,10.88,11.77,6.16,2.67,0.89,4.72,5.73,6.04,1.32,0.31,0.9611804738909602
2006-10-23,19.38,3.97,4.81,6.67,7.11,7.66,2.85,0.99,0.55,5.07,4.92,4.83,-0.24,-0.09,0.31582487163924466
2008-11-05,11.94,2.11,7.63,7.2,7.35,7.75,0.12,0.55,0.4,0.41,1.34,3.7,3.3,2.36,0.7874541279481513
2003-02-06,13.83,1.63,6.93,5.58,5.7,6.28,-0.66,0.7,0.58,1.17,1.7,3.95,2.77,2.25,5.698229508196721
2008-08-18,16.04,3.46,5.4,9.1,9.32,9.09,3.69,-0.01,-0.24,1.78,2.34,3.82,2.04,1.48,0.29500184695820186
2007-12-20,24.44,5.71,3.86,7.4,7.75,7.87,4.01,0.47,0.13,2.76,3.1,4.05,1.3,0.95,-0.08767765361442759
2013-09-06,16.19,2.29,6.11,10.68,8.98,8.63,2.52,-2.06,-0.35,0.02,0.46,2.94,2.92,2.48,1.1286521276103163
2014-05-19,20.57,2.88,4.96,8.72,8.42,8.86,3.89,0.14,0.44,0.03,0.34,2.54,2.51,2.19,0.6484572935827577
2014-03-18,18.62,2.53,5.45,9.19,8.5,8.79,3.34,-0.4,0.29,0.06,0.35,2.68,2.62,2.33,0.7975632521746041
1999-07-07,16.28,2.04,5.33,9.2,10.83,11.82,6.48,2.62,0.99,4.65,5.61,5.89,1.24,0.27,0.7825253970694324
